era,exec_time_raw,exec_time_et,created_at,symbol,side,qty,fill_price,decision_ref_price,limit_price,intent_key,order_id,fill_vs_ref_bps,adverse_bps,bar_15m_open,bt_assumed_price,fill_vs_bt_assumed_bps,15m_status,notes
inherited,2026-07-08T23:45:22Z,2026-07-08T19:45:22-04:00,2026-07-09T01:01:44.330252+00:00,TSLA.US,sell,10,393.82,402.9,393.82,v2-consensus:2026-07-08:morning-1335:repair1:TSLA.US:sell,1259656537735970816,-225.37,225.37,,,,未核到,15m_open_未核到;abs_bps_gt_30;卖便宜
inherited,2026-07-09T17:36:10Z,2026-07-09T13:36:10-04:00,2026-07-09T19:36:56.541562+00:00,AAPL.US,buy,41,314.68,314.721,314.70,v2-consensus:2026-07-09:morning-1335:AAPL.US:buy,1259926014729916416,-1.30,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-09T17:36:26Z,2026-07-09T13:36:26-04:00,2026-07-09T19:36:56.547331+00:00,BAC.US,buy,270,59.38,59.395,59.39,v2-consensus:2026-07-09:morning-1335:BAC.US:buy,1259926080983138304,-2.53,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-09T17:37:06Z,2026-07-09T13:37:06-04:00,2026-07-09T19:36:56.552360+00:00,GE.US,buy,33,359.65,359.77,359.70,v2-consensus:2026-07-09:morning-1335:GE.US:buy,1259926248193277952,-3.34,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-09T17:37:36Z,2026-07-09T13:37:36-04:00,2026-07-09T19:36:56.557317+00:00,LLY.US,buy,8,1216.95,1214.28,1216.99,v2-consensus:2026-07-09:morning-1335:LLY.US:buy,1259926376861925376,21.99,21.99,,,,未核到,15m_open_未核到
inherited,2026-07-09T17:48:16Z,2026-07-09T13:48:16-04:00,2026-07-09T19:36:56.565658+00:00,UNH.US,buy,33,430.195,429.805,430.28,v2-consensus:2026-07-09:morning-1335:watchdog-20260709T174751Z:UNH.US:buy,1259929059631038464,9.07,9.07,,,,未核到,15m_open_未核到
inherited,2026-07-16T01:36:24,2026-07-15T21:36:24-04:00,2026-07-15T19:36:05.088981+00:00,BAC.US,sell,270,61.505,61.415,61.49,v2-consensus:2026-07-15:morning-1335:BAC.US:sell,1262100402216669184,14.65,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-16T01:36:39,2026-07-15T21:36:39-04:00,2026-07-15T19:36:05.095312+00:00,GE.US,sell,33,357.125,357.17,357.03,v2-consensus:2026-07-15:morning-1335:GE.US:sell,1262100462132326400,-1.26,1.26,,,,未核到,15m_open_未核到
inherited,2026-07-17T01:36:31,2026-07-16T21:36:31-04:00,2026-07-16T19:36:00.202059+00:00,GS.US,buy,53,1095.81,1097.695,1096.44,v2-consensus:2026-07-16:morning-1335:GS.US:buy,1262462817819217920,-17.17,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-17T01:36:33,2026-07-16T21:36:33-04:00,2026-07-16T19:36:00.206558+00:00,HOOD.US,buy,280,107.34,107.675,107.37,v2-consensus:2026-07-16:morning-1335:HOOD.US:buy,1262462824962101248,-31.11,0.00,,,,未核到,15m_open_未核到;abs_bps_gt_30
inherited,2026-07-20T22:37:43,2026-07-20T18:37:43-04:00,2026-07-20T19:36:09.660773+00:00,UNH.US,sell,33,420.185,426.09,419.96,v2-consensus:2026-07-20:risk-1035:UNH.US:sell,1263867372649865216,-138.59,138.59,,,,未核到,15m_open_未核到;abs_bps_gt_30;卖便宜
inherited,2026-07-20T22:37:44,2026-07-20T18:37:44-04:00,2026-07-20T19:36:09.666245+00:00,LLY.US,sell,8,1176.825,1179.11,1176.35,v2-consensus:2026-07-20:risk-1035:LLY.US:sell,1263867375711707136,-19.38,19.38,,,,未核到,15m_open_未核到
inherited,2026-07-20T22:37:44,2026-07-20T18:37:44-04:00,2026-07-20T19:36:09.672591+00:00,HOOD.US,sell,280,100.285,99.96,100.24,v2-consensus:2026-07-20:risk-1035:HOOD.US:sell,1263867379125870592,32.51,0.00,,,,未核到,15m_open_未核到;abs_bps_gt_30
inherited,2026-07-20T22:37:45,2026-07-20T18:37:45-04:00,2026-07-20T19:36:09.678019+00:00,GS.US,sell,53,1060,1065.22,1059.24,v2-consensus:2026-07-20:risk-1035:GS.US:sell,1263867381554364416,-49.00,49.00,,,,未核到,15m_open_未核到;abs_bps_gt_30;卖便宜
inherited,2026-07-20T22:37:46,2026-07-20T18:37:46-04:00,2026-07-20T19:36:09.686358+00:00,AAPL.US,sell,41,327.39,333.74,327.37,v2-consensus:2026-07-20:risk-1035:AAPL.US:sell,1263867385803202560,-190.27,190.27,,,,未核到,15m_open_未核到;abs_bps_gt_30;卖便宜
inherited,2026-07-21T01:36:55,2026-07-20T21:36:55-04:00,2026-07-20T19:36:09.690888+00:00,AAPL.US,buy,223,324.94,324.72,324.95,v2-consensus:2026-07-20:morning-1335:AAPL.US:buy,1263912471144435712,6.78,6.78,,,,未核到,15m_open_未核到
inherited,2026-07-21T01:36:58,2026-07-20T21:36:58-04:00,2026-07-20T19:36:09.696788+00:00,JPM.US,buy,24,339.115,339.315,339.19,v2-consensus:2026-07-20:morning-1335:JPM.US:buy,1263912484574609408,-5.89,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-21T22:36:28,2026-07-21T18:36:28-04:00,2026-07-21T19:35:40.215904+00:00,AAPL.US,sell,186,326.42,326.59,326.40,v2-consensus:2026-07-21:risk-1035:AAPL.US:sell,1264229448224366592,-5.21,5.21,,,,未核到,15m_open_未核到
inherited,2026-07-22T01:36:44,2026-07-21T21:36:44-04:00,2026-07-21T19:35:40.221139+00:00,V.US,buy,55,357.68,358.129,357.72,v2-consensus:2026-07-21:morning-1335:V.US:buy,1264274813510246400,-12.54,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-22T01:36:49,2026-07-21T21:36:49-04:00,2026-07-21T19:35:40.225357+00:00,HOOD.US,buy,60,106.83,107.093,106.83,v2-consensus:2026-07-21:morning-1335:HOOD.US:buy,1264274833441579008,-24.56,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-22T02:36:07,2026-07-21T22:36:07-04:00,2026-07-21T19:35:40.229877+00:00,AAPL.US,sell,37,327.47,327.07,327.47,v2-consensus:2026-07-21:risk-1435:AAPL.US:sell,1264289758104797184,12.23,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-22T02:36:08,2026-07-21T22:36:08-04:00,2026-07-21T19:35:40.234054+00:00,HOOD.US,sell,60,106.59,107.093,106.58,v2-consensus:2026-07-21:risk-1435:HOOD.US:sell,1264289759329533952,-46.97,46.97,,,,未核到,15m_open_未核到;abs_bps_gt_30;卖便宜
inherited,2026-07-22T02:36:08,2026-07-21T22:36:08-04:00,2026-07-21T19:35:40.238080+00:00,JPM.US,sell,24,344.73,344.91,344.70,v2-consensus:2026-07-21:risk-1435:JPM.US:sell,1264289760533286912,-5.22,5.22,,,,未核到,15m_open_未核到
inherited,2026-07-22T02:36:08,2026-07-21T22:36:08-04:00,2026-07-21T19:35:40.242220+00:00,V.US,sell,55,356.74,358.129,356.71,v2-consensus:2026-07-21:risk-1435:V.US:sell,1264289761779015680,-38.78,38.78,,,,未核到,15m_open_未核到;abs_bps_gt_30;卖便宜
inherited,2026-07-23T01:37:00,2026-07-22T21:37:00-04:00,2026-07-22T19:36:06.512511+00:00,UNH.US,buy,20,433.38,433.48,433.44,v2-consensus:2026-07-22:morning-1335:UNH.US:buy,1264637268191088640,-2.31,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-23T01:37:01,2026-07-22T21:37:01-04:00,2026-07-22T19:36:06.518137+00:00,DELL.US,buy,7,443.34,443.195,443.48,v2-consensus:2026-07-22:morning-1335:DELL.US:buy,1264637269503905792,3.27,3.27,,,,未核到,15m_open_未核到
inherited,2026-07-23T01:37:01,2026-07-22T21:37:01-04:00,2026-07-22T19:36:06.523766+00:00,JPM.US,buy,31,347.41,346.93,347.57,v2-consensus:2026-07-22:morning-1335:JPM.US:buy,1264637270653140992,13.84,13.84,,,,未核到,15m_open_未核到
inherited,2026-07-23T01:37:01,2026-07-22T21:37:01-04:00,2026-07-22T19:36:06.529273+00:00,AMD.US,buy,6,556.535,557.0,556.70,v2-consensus:2026-07-22:morning-1335:AMD.US:buy,1264637272058249216,-8.35,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-23T01:37:03,2026-07-22T21:37:03-04:00,2026-07-22T19:36:06.534171+00:00,HOOD.US,buy,35,106.01,105.74,106.04,v2-consensus:2026-07-22:morning-1335:HOOD.US:buy,1264637278500700160,25.53,25.53,,,,未核到,15m_open_未核到
inherited,2026-07-24T01:36:11,2026-07-23T21:36:11-04:00,2026-07-23T19:35:59.755997+00:00,GS.US,buy,6,1076.12,1080.035,1076.79,v2-consensus:2026-07-23:morning-1335:GS.US:buy,1264999447918567424,-36.25,0.00,,,,未核到,15m_open_未核到;abs_bps_gt_30
inherited,2026-07-29T01:36:10,2026-07-28T21:36:10-04:00,2026-07-28T19:35:59.390604+00:00,AMD.US,sell,6,459.93,459.05,459.93,v2-consensus:2026-07-28:morning-1335:AMD.US:sell,1266811382582534144,19.17,0.00,,,,未核到,15m_open_未核到
inherited,2026-07-29T01:36:10,2026-07-28T21:36:10-04:00,2026-07-28T19:35:59.396032+00:00,AAPL.US,buy,29,339.12,339.03,339.15,v2-consensus:2026-07-28:morning-1335:AAPL.US:buy,1266811384746795008,2.65,2.65,,,,未核到,15m_open_未核到
inherited,2026-07-30T23:36:18,2026-07-30T19:36:18-04:00,2026-07-30T19:36:02.394007+00:00,GS.US,sell,6,1006,980.75,1005.54,v2-consensus:2026-07-30:risk-1135:GS.US:sell,1267505995823755264,257.46,0.00,,,,未核到,15m_open_未核到;abs_bps_gt_30
inherited,2026-07-31T01:36:04,2026-07-30T21:36:04-04:00,2026-07-30T19:36:02.399315+00:00,HOOD.US,sell,35,87.715,87.765,87.70,v2-consensus:2026-07-30:morning-1335:HOOD.US:sell,1267536136381673472,-5.70,5.70,,,,未核到,15m_open_未核到
inherited,2026-07-31T01:36:05,2026-07-30T21:36:05-04:00,2026-07-30T19:36:02.404004+00:00,LLY.US,buy,4,1160.6417,1161.55,1161.14,v2-consensus:2026-07-30:morning-1335:LLY.US:buy,1267536137598021632,-7.82,0.00,,,,未核到,15m_open_未核到
inherited,2026-08-01T01:35:58,2026-07-31T21:35:58-04:00,2026-07-31T19:35:57.984112+00:00,AAPL.US,sell,29,301.565,301.2,301.56,v2-consensus:2026-07-31:morning-1335:AAPL.US:sell,1267898499391860736,12.12,0.00,,,,未核到,15m_open_未核到
inherited,2026-08-01T01:35:59,2026-07-31T21:35:59-04:00,2026-07-31T19:35:57.989388+00:00,V.US,buy,20,365.75,365.85,365.79,v2-consensus:2026-07-31:morning-1335:V.US:buy,1267898500620746752,-2.73,0.00,,,,未核到,15m_open_未核到
inherited,2026-08-06T01:36:02,2026-08-05T21:36:02-04:00,2026-08-05T19:36:05.337864+00:00,LLY.US,sell,4,1159.34,1159.455,1158.21,v2-consensus:2026-08-05:morning-1335:LLY.US:sell,1269710454901485568,-0.99,0.99,,,,未核到,15m_open_未核到
inherited,2026-08-06T01:36:03,2026-08-05T21:36:03-04:00,2026-08-05T19:36:05.343077+00:00,PANW.US,buy,14,365.07,365.58,365.10,v2-consensus:2026-08-05:morning-1335:PANW.US:buy,1269710456126222336,-13.95,0.00,,,,未核到,15m_open_未核到
inherited,2026-08-06T01:36:03,2026-08-05T21:36:03-04:00,2026-08-05T19:36:05.349324+00:00,AMZN.US,buy,23,271.79,271.92,271.79,v2-consensus:2026-08-05:morning-1335:AMZN.US:buy,1269710460018536448,-4.78,0.00,,,,未核到,15m_open_未核到
inherited,2026-08-06T23:36:06,2026-08-06T19:36:06-04:00,2026-08-06T19:36:11.141518+00:00,UNH.US,sell,20,404.09,404.47,404.09,v2-consensus:2026-08-06:risk-1135:UNH.US:sell,1270042641181978624,-9.40,9.40,,,,未核到,15m_open_未核到
inherited,2026-08-08T01:35:59,2026-08-07T21:35:59-04:00,2026-08-07T19:36:23.365919+00:00,DELL.US,sell,7,448.225,447.955,448.02,v2-consensus:2026-08-07:morning-1335:DELL.US:sell,1270435215436701696,6.03,0.00,,,,未核到,15m_open_未核到
inherited,2026-08-08T01:35:59,2026-08-07T21:35:59-04:00,2026-08-07T19:36:23.371260+00:00,GOOG.US,buy,17,353.735,353.9,353.77,v2-consensus:2026-08-07:morning-1335:GOOG.US:buy,1270435216590147584,-4.66,0.00,,,,未核到,15m_open_未核到
inherited,2026-08-08T01:35:59,2026-08-07T21:35:59-04:00,2026-08-07T19:36:23.375935+00:00,MSFT.US,buy,15,498.955,499.76,498.97,v2-consensus:2026-08-07:morning-1335:MSFT.US:buy,1270435217726803968,-16.11,0.00,,,,未核到,15m_open_未核到
