symbol,date_et,decision_id,decision_ts_et,reason_raw,classified,entry_atr,initial_stop,days_held,match_2p5x_atr,match_12d,source
TSLA.US,2026-07-07,2026-07-07:morning-1335,2026-07-07T13:35:38.199330-04:00,forced_exit:TSLA.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
TSLA.US,2026-07-07,2026-07-07:morning-1335,2026-07-07T13:35:00-04:00,forced_exit:TSLA.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
TSLA.US,2026-07-08,2026-07-08:morning-1335,2026-07-08T13:35:37.528474-04:00,forced_exit:TSLA.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
BAC.US,2026-07-15,2026-07-15:morning-1335,2026-07-15T13:35:37.809226-04:00,forced_exit:BAC.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
GE.US,2026-07-15,2026-07-15:morning-1335,2026-07-15T13:35:37.809226-04:00,forced_exit:GE.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
AAPL.US,2026-07-21,2026-07-21:risk-1435,2026-07-21T14:35:37.504239-04:00,forced_exit:AAPL.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
HOOD.US,2026-07-21,2026-07-21:risk-1435,2026-07-21T14:35:37.504239-04:00,forced_exit:HOOD.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
JPM.US,2026-07-21,2026-07-21:risk-1435,2026-07-21T14:35:37.504239-04:00,forced_exit:JPM.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
V.US,2026-07-21,2026-07-21:risk-1435,2026-07-21T14:35:37.504239-04:00,forced_exit:V.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
AMD.US,2026-07-28,2026-07-28:morning-1335,2026-07-28T13:35:37.680725-04:00,forced_exit:AMD.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
GS.US,2026-07-30,2026-07-30:risk-1135,2026-07-30T11:35:37.906284-04:00,forced_exit:GS.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
HOOD.US,2026-07-30,2026-07-30:morning-1335,2026-07-30T13:35:37.562728-04:00,forced_exit:HOOD.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
AAPL.US,2026-07-31,2026-07-31:morning-1335,2026-07-31T13:35:37.725594-04:00,forced_exit:AAPL.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
LLY.US,2026-08-05,2026-08-05:morning-1335,2026-08-05T13:35:37.865561-04:00,forced_exit:LLY.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
UNH.US,2026-08-06,2026-08-06:risk-1135,2026-08-06T11:35:37.759486-04:00,forced_exit:UNH.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
DELL.US,2026-08-07,2026-08-07:morning-1335,2026-08-07T13:35:37.541168-04:00,forced_exit:DELL.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
GOOG.US,2026-08-10,2026-08-10:morning-1335,2026-08-10T13:35:38.092374-04:00,forced_exit:GOOG.US,forced_exit_unclassified,,,,,,state.db:decisions.reasons
V.US,2026-08-19,2026-08-19:morning-1335,2026-08-19T13:35:02.223043-04:00,forced_exit:V.US,time_stop,7.672278554669094,346.5693036133272650,12,yes,yes,state.db:decisions.reasons
